age,fnlwgt,education.num,hours.per.week,label
53,93449,15,40,1
33,123424,13,40,1
47,144844,9,40,0
40,114580,9,40,0
39,115618,9,50,0
33,159322,9,40,0
55,50164,16,60,1
39,370032,14,45,0
22,209034,10,35,0
27,94090,10,50,0
33,105974,9,41,0
37,32528,9,40,1
79,84616,7,7,0
31,56026,9,40,0
37,61518,9,50,0
47,503454,8,40,0
19,91893,10,24,0
21,214399,10,24,0
56,321529,10,40,1
26,111058,13,50,0
27,255476,3,40,0
55,335276,10,40,0
42,117227,14,45,0
30,197058,12,40,0
56,199713,5,40,0
35,22494,13,50,1
19,141418,10,15,0
56,273084,14,40,1
68,122094,9,15,0
38,203717,13,60,0
21,163665,10,40,0
34,161113,10,40,0
32,195576,7,40,0
72,74141,5,48,1
24,209417,10,60,1
19,183532,10,25,0
50,102346,9,36,0
28,162298,9,40,0
72,164724,13,28,0
49,59380,10,40,0
37,188069,9,40,0
29,142712,13,40,1
51,146181,5,40,0
48,38240,9,40,1
41,242804,9,40,0
27,110648,13,40,0
32,223212,1,40,0
48,320421,9,50,0
40,184471,10,40,0
30,54318,7,40,0
51,165637,14,40,0
37,135089,10,56,0
66,236879,1,40,0
60,101198,11,20,0
20,332194,9,20,0
76,82628,4,45,0
35,276552,9,40,0
45,214627,16,40,1
51,120781,15,70,1
52,146565,12,30,0
33,176185,8,42,0
38,149135,12,40,0
35,227128,9,40,0
34,140092,9,40,0
18,192022,10,20,0
44,163215,8,40,0
42,217597,9,50,0
47,140644,10,40,1
26,37898,11,65,0
33,240763,10,40,0
42,136986,9,50,1
51,101119,9,70,0
59,124771,13,30,0
31,171871,14,46,0
45,135339,10,45,0
39,222204,10,40,0
56,255386,10,40,0
35,211154,9,45,0
75,31428,9,40,0
71,31781,9,35,0
46,317253,9,25,0
37,333305,16,35,0
30,337908,12,20,0
75,220618,10,10,0
29,179768,10,50,0
51,231919,7,45,0
41,34037,9,40,0
18,28357,10,20,0
30,19302,9,70,1
35,200426,11,44,0
40,240698,13,50,1
39,193689,10,40,0
42,263871,9,8,0
46,283004,11,63,0
40,199303,12,40,1
31,48520,12,40,0
23,181820,10,20,0
68,31661,9,65,0
41,183203,9,50,1
23,250165,13,40,0
17,313444,8,20,0
54,146551,9,54,1
36,188571,9,40,0
60,216574,13,40,1
53,283602,14,40,1
54,155408,9,40,0
25,206002,9,40,0
21,92863,9,40,0
34,157024,6,20,0
57,217886,9,36,0
41,96635,9,60,0
32,206541,7,50,0
28,197932,10,16,0
47,268022,9,55,1
39,121468,13,35,0
26,410240,7,40,0
29,211032,12,72,1
30,112115,9,60,1
27,124953,9,40,0
46,344415,14,40,1
33,198727,9,40,0
23,193586,10,40,0
24,108495,9,40,0
50,125417,13,65,1
46,110151,11,45,0
37,150993,7,45,0
47,246891,13,40,0
55,107308,11,40,0
43,194636,13,48,1
55,200992,10,35,0
37,280966,10,50,1
34,235271,10,86,1
41,307589,13,5,0
49,48120,9,40,0
58,142182,9,25,0
23,62507,10,12,0
57,190942,2,30,0
35,112158,6,40,0
30,143526,13,40,0
21,26842,10,20,0
31,175548,9,35,0
53,197184,14,70,1
66,197816,13,40,1
58,107897,13,40,1
26,187248,9,40,0
27,445365,13,40,0
20,163911,10,40,0
51,163027,9,20,0
43,243580,13,40,1
37,259882,11,6,0
20,190772,12,40,0
38,101387,9,43,0
27,267325,9,40,0
44,64632,16,60,0
39,205338,13,60,0
50,163671,9,40,0
64,217802,9,40,0
61,119684,9,50,0
38,123983,13,40,0
31,163303,11,38,0
19,40425,10,28,0
37,291518,13,55,1
24,174845,9,40,0
39,191342,13,40,1
34,173854,14,60,1
24,196388,12,12,0
38,143123,9,40,0
33,24504,10,60,0
33,400416,6,20,0
25,174545,9,46,0
36,258289,9,35,0
49,82572,10,60,0
39,257175,13,40,0
26,152855,9,40,0
70,278139,9,40,0
57,57071,10,40,0
28,109001,14,38,1
19,282698,4,80,0
34,341051,14,50,1
21,376393,9,25,0
38,324053,13,40,1
90,51744,9,40,0
32,124052,9,50,0
33,272669,12,30,0
46,525848,7,48,0
34,313729,13,60,1
41,173858,9,40,0
19,80978,9,25,0
33,175502,13,60,0
30,53285,11,40,0
25,135845,10,40,0
25,188507,4,40,0
17,95446,6,15,0
47,274200,7,40,1
51,105788,3,40,0
31,31510,12,40,0
33,195770,9,40,0
51,89652,9,24,1
32,133530,14,20,0
24,192201,10,20,0
45,90533,13,45,0
41,143003,11,60,1
25,186370,9,40,0
31,66815,9,50,0
24,186221,7,35,0
48,192945,9,40,1
59,220783,6,40,0
37,326400,9,30,0
41,211253,14,40,1
38,331374,7,60,0
56,102106,9,40,0
34,35595,11,40,0
81,98116,13,50,1
36,101833,13,40,0
26,112847,11,40,0
29,134813,9,50,0
41,116391,13,40,1
59,750972,9,40,0
31,80511,12,44,0
24,314440,9,40,0
31,164243,10,40,0
20,325033,8,35,1
32,164197,13,60,1
25,207342,10,40,0
43,245056,1,40,0
45,196584,11,40,1
50,251585,13,55,1
40,59916,9,40,0
60,95445,10,46,0
31,325355,13,40,1
19,69182,10,27,0
36,229180,10,40,0
27,259873,9,60,1
26,366889,9,40,0
38,207568,13,40,1
49,50567,10,32,0
43,196344,3,40,0
19,196857,7,15,0
31,209101,13,50,1
46,199281,13,40,0
17,165361,6,40,0
60,198727,9,30,0
36,180220,9,50,0
47,78022,12,50,0
81,132204,2,20,0
32,56150,9,40,0
44,201599,7,40,0
36,116554,13,40,0
30,275232,12,36,0
85,188328,14,5,0
30,136997,9,40,0
18,251923,7,15,0
27,236481,15,10,0
38,82622,10,40,0
21,219137,6,25,0
18,209792,10,40,0
33,24504,9,50,0
28,354095,10,40,0
19,190817,10,40,0
38,227154,13,40,0
27,54897,9,40,0
42,373403,9,50,0
21,89991,10,40,0
31,243142,9,40,0
57,69884,9,40,1
34,189809,10,52,0
39,58343,10,40,1
31,100734,16,28,0
26,181666,10,40,0
24,122234,10,20,0
38,237091,10,36,0
21,409230,10,30,0
51,293802,3,52,0
48,136455,10,16,0
30,77634,9,40,0
60,367695,12,40,1
26,205333,13,10,0
48,28791,9,50,0
42,413297,10,40,0
42,96524,9,60,1
38,249720,11,40,0
48,41411,10,50,0
21,109667,10,40,0
38,196123,9,50,0
36,116608,9,38,0
50,474229,9,40,0
34,197688,9,40,0
23,114939,10,30,0
50,163576,14,50,1
43,199657,9,20,0
22,180052,10,20,0
45,358701,8,10,0
21,225823,10,40,0
90,77053,9,40,0
29,29616,9,65,0
41,197919,9,60,0
62,26966,10,40,0
38,134444,10,72,0
32,36467,12,45,1
55,206487,10,40,1
61,90051,4,44,0
34,226883,9,49,0
20,353696,10,28,0
26,189027,9,40,0
42,31251,11,37,0
39,155603,10,40,0
34,343789,13,55,1
33,238381,10,40,1
28,174327,9,50,0
21,239577,10,40,0
47,187969,7,38,0
55,170994,9,40,0
57,103948,15,30,1
44,67671,10,40,0
20,403519,9,33,0
21,596776,10,40,0
33,118941,13,40,1
20,49179,10,35,0
53,350131,13,48,1
18,437851,10,40,0
17,270587,7,20,0
22,189277,9,40,0
23,251325,10,8,0
40,173001,10,40,1
42,171841,15,60,0
33,171637,9,20,0
48,278530,9,40,0
65,172815,10,40,0
43,146770,9,40,0
33,158438,9,55,1
30,148524,9,40,0
34,156890,9,50,0
33,231826,7,40,0
39,214117,10,40,0
32,343789,9,55,0
27,147280,7,40,0
24,106085,9,30,0
69,215926,4,35,0
28,211184,10,50,0
23,163665,9,32,0
37,50096,11,30,0
52,417227,9,70,0
50,23686,10,35,1
17,160968,7,16,0
36,187098,9,40,0
27,175387,13,40,0
51,191659,10,65,1
67,272587,4,15,0
37,593246,13,50,1
64,165479,9,5,0
31,158144,10,40,0
18,140164,7,40,0
39,326342,7,37,0
41,126622,7,40,0
42,409902,9,25,0
51,257756,9,50,1
37,216473,6,30,0
30,239648,10,40,0
24,333505,9,40,0
28,472580,10,40,0
41,207578,12,50,1
35,302149,10,40,1
32,153326,13,40,0
31,163003,12,40,0
22,204226,9,40,0
32,53373,10,36,0
36,113397,9,40,0
49,83444,9,40,0
25,129200,10,40,0
47,244813,9,40,0
72,118902,16,6,1
48,202117,7,34,0
46,261688,9,40,0
21,51047,9,25,0
39,135500,9,40,1
52,110563,10,40,1
22,205839,10,45,0
33,194901,9,45,0
65,193216,9,40,1
50,42402,15,30,1
