age,fnlwgt,education.num,capital.gain,capital.loss,hours.per.week,ada.num,label
53,93449,15,0,0,40,0.875058373,yes
33,123424,13,0,0,40,0.286901815,yes
47,144844,9,0,0,40,-0.389437941,no
40,114580,9,0,0,40,-1.707925831,no
39,115618,9,0,0,50,-0.389437941,no
33,159322,9,0,0,40,-1.41126367,no
55,50164,16,0,0,60,1.070960491,yes
39,370032,14,0,0,45,0.701824724,no
22,209034,10,0,0,35,-1.642688281,no
27,94090,10,0,0,50,-0.135122527,no
33,105974,9,0,0,41,-1.546813059,no
37,32528,9,0,0,40,0.134375593,yes
79,84616,7,0,0,7,-0.776083491,no
31,56026,9,0,0,40,-0.389437941,no
37,61518,9,0,0,50,-0.389437941,no
47,503454,8,0,0,40,-2.477164432,no
19,91893,10,0,0,24,-2.024486472,no
21,214399,10,0,1721,24,-2.374677108,no
56,321529,10,15024,0,40,0.28274596,yes
26,111058,13,0,0,50,-1.512153628,no
27,255476,3,0,0,40,-2.91368437,no
55,335276,10,0,0,40,-2.374677108,no
42,117227,14,0,0,45,-0.664467629,no
30,197058,12,0,0,40,-1.479664819,no
56,199713,5,0,0,40,-0.847672482,no
35,22494,13,0,0,50,-0.473364263,yes
19,141418,10,0,0,15,-2.359094786,no
56,273084,14,0,0,40,0.549730762,yes
68,122094,9,0,0,15,-0.479746444,no
38,203717,13,0,0,60,0.377210318,no
21,163665,10,0,0,40,-2.709285422,no
34,161113,10,0,0,40,-0.129398514,no
32,195576,7,0,0,40,-0.781807504,no
72,74141,5,0,0,48,-0.787268986,yes
24,209417,10,7298,0,60,-0.135122527,yes
19,183532,10,0,0,25,-2.024486472,no
50,102346,9,0,0,36,-1.863380551,no
28,162298,9,0,0,40,-2.278801886,no
72,164724,13,0,0,28,-0.994806047,no
49,59380,10,0,0,40,-1.292086762,no
37,188069,9,0,0,40,-0.389437941,no
29,142712,13,0,0,40,0.377210318,yes
51,146181,5,0,0,40,-0.999766443,no
48,38240,9,0,0,40,0.028430546,yes
41,242804,9,0,0,40,-0.389437941,no
27,110648,13,0,0,40,-1.512153628,no
32,223212,1,0,0,40,-1.5008016,no
48,320421,9,0,0,50,-0.389437941,no
40,184471,10,0,0,40,-0.921563327,no
30,54318,7,0,0,40,-0.975810534,no
51,165637,14,0,0,40,0.36721641,no
37,135089,10,0,0,56,-1.507138892,no
66,236879,1,0,0,40,-2.155959763,no
60,101198,11,0,0,20,-0.8713078,no
20,332194,9,0,0,20,-2.43661986,no
76,82628,4,0,0,45,-0.965065326,no
35,276552,9,0,0,40,-1.175878741,no
45,214627,16,15020,0,40,0.023833221,yes
51,120781,15,99999,0,70,0.875058373,yes
52,146565,12,4865,0,30,-1.103006488,no
33,176185,8,0,2258,42,-1.327866643,no
38,149135,12,0,0,40,-1.481295187,no
35,227128,9,0,0,40,-2.101870598,no
34,140092,9,0,0,40,-1.546813059,no
18,192022,10,0,0,20,-2.024486472,no
44,163215,8,0,0,40,-1.913442208,no
42,217597,9,0,0,50,-2.100102317,no
47,140644,10,0,0,40,-0.129398514,yes
26,37898,11,0,0,65,-1.242242118,no
33,240763,10,0,0,40,-0.2929405,no
42,136986,9,7688,0,50,-0.389437941,yes
51,101119,9,0,0,70,-0.383713928,no
59,124771,13,0,0,30,0.286901815,no
31,171871,14,0,0,46,-0.80574103,no
45,135339,10,0,0,45,-0.149775174,no
39,222204,10,3325,0,40,-1.362062466,no
56,255386,10,0,0,40,-0.532721767,no
35,211154,9,0,0,45,-0.389437941,no
75,31428,9,3456,0,40,-0.479746444,no
71,31781,9,0,1510,35,-0.479746444,no
46,317253,9,0,0,25,-0.479746444,no
37,333305,16,0,0,35,1.146016634,no
30,337908,12,0,0,20,-0.054860896,no
75,220618,10,0,0,10,-1.317872228,no
29,179768,10,0,0,50,-0.135122527,no
51,231919,7,0,0,45,-0.781807504,no
41,34037,9,0,0,40,-1.546813059,no
18,28357,10,0,0,20,-2.709285422,no
30,19302,9,4386,0,70,-0.38934916,yes
35,200426,11,0,0,44,-1.477216164,no
40,240698,13,0,0,50,0.377210318,yes
39,193689,10,0,0,40,-0.135122527,no
42,263871,9,0,0,8,-0.383713928,no
46,283004,11,0,0,63,-1.382524011,no
40,199303,12,0,0,40,0.31395779,yes
31,48520,12,0,0,40,-1.3591351,no
23,181820,10,0,0,20,-2.024486472,no
68,31661,9,0,0,65,0.028430546,no
41,183203,9,0,0,50,-0.389437941,yes
23,250165,13,594,0,40,-1.856620251,no
17,313444,8,0,0,20,-2.780980424,no
54,146551,9,0,0,54,-0.389437941,yes
36,188571,9,0,0,40,-0.389437941,no
60,216574,13,0,0,40,-0.759421118,yes
53,283602,14,15024,0,40,0.782604879,yes
54,155408,9,0,0,40,-1.613569541,no
25,206002,9,0,0,40,-1.755730293,no
21,92863,9,0,0,40,-1.546813059,no
34,157024,6,0,0,20,-2.724002074,no
57,217886,9,0,0,36,-1.378184612,no
41,96635,9,0,0,60,-1.561465707,no
32,206541,7,0,0,50,-2.300237131,no
28,197932,10,0,0,16,-2.368953095,no
47,268022,9,0,0,55,-0.389437941,yes
39,121468,13,0,0,35,-1.87699691,no
26,410240,7,0,0,40,-1.939182622,no
29,211032,12,0,0,72,0.033624947,yes
30,112115,9,0,0,60,0.294924127,yes
27,124953,9,0,1980,40,-1.546813059,no
46,344415,14,0,1887,40,0.987881579,yes
33,198727,9,0,0,40,-1.526069376,no
23,193586,10,0,0,40,-1.583558696,no
24,108495,9,0,0,40,-2.6134102,no
50,125417,13,7298,0,65,0.377210318,yes
46,110151,11,0,0,45,-1.456883364,no
37,150993,7,0,0,45,-0.872116007,no
47,246891,13,0,0,40,0.382934331,no
55,107308,11,0,0,40,-0.084866999,no
43,194636,13,0,0,48,0.377210318,yes
55,200992,10,0,0,35,-1.123869198,no
37,280966,10,0,0,50,-0.135122527,yes
34,235271,10,0,0,86,-2.024486472,yes
41,307589,13,0,0,5,0.163054879,no
49,48120,9,1506,0,40,-2.290206597,no
58,142182,9,0,0,25,-0.389437941,no
23,62507,10,0,0,12,-1.977296595,no
57,190942,2,0,0,30,-2.179740708,no
35,112158,6,0,0,40,-0.823233417,no
30,143526,13,0,0,40,-1.512153628,no
21,26842,10,0,0,20,-1.642688281,no
31,175548,9,0,0,35,-1.911656342,no
53,197184,14,0,0,70,0.507821694,yes
66,197816,13,10605,0,40,0.795078805,yes
58,107897,13,7688,0,40,0.377210318,yes
26,187248,9,0,0,40,-1.18581195,no
27,445365,13,0,0,40,-0.780164801,no
20,163911,10,0,0,40,-2.709285422,no
51,163027,9,0,0,20,-1.761454306,no
43,243580,13,0,0,40,0.377210318,yes
37,259882,11,0,0,6,-1.985635656,no
20,190772,12,0,0,40,-1.479664819,no
38,101387,9,0,0,43,-0.314381798,no
27,267325,9,3464,0,40,-0.314381798,no
44,64632,16,0,0,60,1.488828978,no
39,205338,13,0,0,60,0.377210318,no
50,163671,9,0,0,40,-0.389437941,no
64,217802,9,0,0,40,-1.378184612,no
61,119684,9,0,0,50,-0.389437941,no
38,123983,13,0,1741,40,-0.935979958,no
31,163303,11,0,0,38,-1.953487262,no
19,40425,10,0,0,28,-1.642688281,no
37,291518,13,15024,0,55,0.795078805,yes
24,174845,9,0,0,40,-1.897003695,no
39,191342,13,0,0,40,0.42260705,yes
34,173854,14,27828,0,60,-0.084616077,yes
24,196388,12,0,0,12,-1.464082497,no
38,143123,9,0,0,40,-0.389437941,no
33,24504,10,0,0,60,-0.22543103,no
33,400416,6,0,0,20,-2.870415337,no
25,174545,9,0,0,46,-2.132388624,no
36,258289,9,0,0,35,-2.36911039,no
49,82572,10,0,0,60,-1.642688281,no
39,257175,13,0,625,40,-0.866567165,no
26,152855,9,0,0,40,-3.281309807,no
70,278139,9,3432,0,40,-0.389437941,no
57,57071,10,3137,0,40,-0.22543103,no
28,109001,14,0,0,38,0.701824724,yes
19,282698,4,0,0,80,-2.854429271,no
34,341051,14,0,0,50,0.987881579,yes
21,376393,9,0,0,25,-2.628992522,no
38,324053,13,0,0,40,0.377210318,yes
90,51744,9,0,2206,40,-1.704631033,no
32,124052,9,0,0,50,0.028430546,no
33,272669,12,0,0,30,-1.940480692,no
46,525848,7,0,0,48,-1.029933981,no
34,313729,13,0,0,60,0.286901815,yes
41,173858,9,0,0,40,-0.840271739,no
19,80978,9,0,0,25,-2.963600836,no
33,175502,13,0,0,60,0.286901815,no
30,53285,11,0,0,40,-0.084866999,no
25,135845,10,0,0,40,-2.374677108,no
25,188507,4,0,0,40,-2.83682663,no
17,95446,6,0,0,15,-2.712597363,no
47,274200,7,7298,0,40,-0.781807504,yes
51,105788,3,0,0,40,-2.712523212,no
31,31510,12,0,0,40,0.027900935,no
33,195770,9,0,0,40,-0.389437941,no
51,89652,9,4787,0,24,-1.761454306,yes
32,133530,14,0,0,20,0.762228219,no
24,192201,10,0,0,20,-1.800506254,no
45,90533,13,0,0,45,-0.844298581,no
41,143003,11,7298,0,60,-0.141260007,yes
25,186370,9,0,0,40,-0.389437941,no
31,66815,9,0,0,50,-0.389437941,no
24,186221,7,0,0,35,-2.153823868,no
48,192945,9,7688,0,40,0.028430546,yes
59,220783,6,0,0,40,-2.381973331,no
37,326400,9,0,0,30,-0.479746444,no
41,211253,14,0,0,40,0.776880866,yes
38,331374,7,0,0,60,-0.872116007,no
56,102106,9,0,0,40,-0.389437941,no
34,35595,11,0,0,40,-0.084866999,no
81,98116,13,0,0,50,-0.261345717,yes
36,101833,13,0,0,40,-0.444956342,no
26,112847,11,0,0,40,-1.974230945,no
29,134813,9,0,0,50,-0.389437941,no
41,116391,13,0,0,40,0.377210318,yes
59,750972,9,0,0,40,-0.389437941,no
31,80511,12,0,0,44,-1.108730501,no
24,314440,9,0,0,40,-1.897003695,no
31,164243,10,0,1579,40,-0.135122527,no
20,325033,8,0,0,35,-2.588607762,yes
32,164197,13,0,0,60,0.377210318,yes
25,207342,10,0,0,40,-1.164258764,no
43,245056,1,0,0,40,-1.553910863,no
45,196584,11,0,1564,40,-1.592432753,yes
50,251585,13,0,0,55,-0.123173627,yes
40,59916,9,0,0,40,-0.389437941,no
60,95445,10,3137,0,46,-0.22543103,no
31,325355,13,0,1902,40,0.361957957,yes
19,69182,10,0,0,27,-2.374677108,no
36,229180,10,0,0,40,-1.640574633,no
27,259873,9,0,0,60,-0.637564418,yes
26,366889,9,0,0,40,-1.546813059,no
38,207568,13,5178,0,40,0.377210318,yes
49,50567,10,0,0,32,-1.271753962,no
43,196344,3,0,0,40,-1.485954389,no
19,196857,7,594,0,15,-3.021362085,no
31,209101,13,0,0,50,0.377210318,yes
46,199281,13,0,0,40,-0.680341272,no
17,165361,6,0,0,40,-3.047205677,no
60,198727,9,0,0,30,-0.389437941,no
